,timestamp,open,high,low,close,volume,datetime,date
490,1699337702000,32551.76953125,32591.109375,32250.9296875,32271.8203125,0,2023-11-07 06:15:02,2023-11-07
489,1699228800000,32450.8203125,32766.5390625,32395.5,32708.48046875,139400000,2023-11-06 00:00:00,2023-11-06
488,1698883200000,31987.01953125,32087.130859375,31878.359375,31949.890625,121100000,2023-11-02 00:00:00,2023-11-02
487,1698796800000,31311.220703125,31601.650390625,31301.509765625,31601.650390625,130100000,2023-11-01 00:00:00,2023-11-01
486,1698710400000,30694.9609375,30973.66015625,30552.650390625,30858.849609375,134300000,2023-10-31 00:00:00,2023-10-31
485,1698624000000,30663.48046875,30762.5,30538.2890625,30696.9609375,187000000,2023-10-30 00:00:00,2023-10-30
484,1698364800000,30713.7890625,31081.48046875,30687.330078125,30991.689453125,89100000,2023-10-27 00:00:00,2023-10-27
483,1698278400000,30902.919921875,30943.330078125,30567.609375,30601.779296875,85600000,2023-10-26 00:00:00,2023-10-26
482,1698192000000,31302.509765625,31466.919921875,31195.580078125,31269.919921875,78700000,2023-10-25 00:00:00,2023-10-25
481,1698105600000,31157.009765625,31210.259765625,30551.669921875,31062.349609375,97900000,2023-10-24 00:00:00,2023-10-24
480,1698019200000,31151.98046875,31177.41015625,30974.259765625,30999.55078125,73500000,2023-10-23 00:00:00,2023-10-23
479,1697760000000,31164.890625,31428.970703125,31093.900390625,31259.359375,84500000,2023-10-20 00:00:00,2023-10-20
478,1697673600000,31579.5390625,31669.419921875,31399.169921875,31430.619140625,80700000,2023-10-19 00:00:00,2023-10-19
477,1697587200000,32033.810546875,32101.470703125,31866.94921875,32042.25,83200000,2023-10-18 00:00:00,2023-10-18
476,1697500800000,32063.7890625,32260.76953125,31901.390625,32040.2890625,75600000,2023-10-17 00:00:00,2023-10-17
475,1697414400000,31983.0390625,31999.7890625,31564.310546875,31659.029296875,84500000,2023-10-16 00:00:00,2023-10-16
474,1697155200000,32328.390625,32533.080078125,32249.029296875,32315.990234375,91500000,2023-10-13 00:00:00,2023-10-13
473,1697068800000,32120.939453125,32494.66015625,32120.939453125,32494.66015625,100600000,2023-10-12 00:00:00,2023-10-12
472,1696982400000,31847.099609375,32037.0703125,31804.08984375,31936.509765625,89500000,2023-10-11 00:00:00,2023-10-11
471,1696896000000,31314.669921875,31818.259765625,31314.669921875,31746.529296875,101000000,2023-10-10 00:00:00,2023-10-10
470,1696550400000,31003.94921875,31160.44921875,30928.16015625,30994.669921875,94600000,2023-10-06 00:00:00,2023-10-06
469,1696464000000,30733.650390625,31083.900390625,30565.3203125,31075.359375,114200000,2023-10-05 00:00:00,2023-10-05
468,1696377600000,30765.029296875,30830.849609375,30487.669921875,30526.880859375,137200000,2023-10-04 00:00:00,2023-10-04
467,1696291200000,31607.970703125,31607.970703125,31157.400390625,31237.939453125,109600000,2023-10-03 00:00:00,2023-10-03
466,1696204800000,32101.970703125,32401.580078125,31759.880859375,31759.880859375,103100000,2023-10-02 00:00:00,2023-10-02
465,1695945600000,32018.640625,32027.4609375,31717.740234375,31857.619140625,132000000,2023-09-29 00:00:00,2023-09-29
464,1695859200000,32119.369140625,32164.44921875,31674.419921875,31872.51953125,115900000,2023-09-28 00:00:00,2023-09-28
463,1695772800000,32023.369140625,32371.900390625,31960.3203125,32371.900390625,105600000,2023-09-27 00:00:00,2023-09-27
462,1695686400000,32640.05078125,32643.41015625,32315.05078125,32315.05078125,86500000,2023-09-26 00:00:00,2023-09-26
461,1695600000000,32517.259765625,32722.220703125,32388.279296875,32678.619140625,82100000,2023-09-25 00:00:00,2023-09-25
460,1695340800000,32189.3203125,32535.669921875,32154.529296875,32402.41015625,109800000,2023-09-22 00:00:00,2023-09-22
459,1695254400000,32865.55859375,32939.890625,32550.650390625,32571.029296875,107900000,2023-09-21 00:00:00,2023-09-21
458,1695168000000,33261.3515625,33267.140625,32988.6484375,33023.78125,113500000,2023-09-20 00:00:00,2023-09-20
457,1695081600000,33296.23046875,33337.23046875,33128.859375,33242.58984375,117200000,2023-09-19 00:00:00,2023-09-19
456,1694736000000,33428.44140625,33634.30859375,33391.4609375,33533.08984375,166600000,2023-09-15 00:00:00,2023-09-15
455,1694649600000,32925.5390625,33244.44921875,32851.23828125,33168.1015625,112100000,2023-09-14 00:00:00,2023-09-14
454,1694563200000,32742.2890625,32872.44140625,32616.650390625,32706.51953125,98100000,2023-09-13 00:00:00,2023-09-13
453,1694476800000,32629.16015625,32799.69140625,32486.48046875,32776.37109375,94000000,2023-09-12 00:00:00,2023-09-12
452,1694390400000,32690.5390625,32746.140625,32391.689453125,32467.759765625,84200000,2023-09-11 00:00:00,2023-09-11
451,1694131200000,32916.25,32920.4296875,32512.80078125,32606.83984375,114100000,2023-09-08 00:00:00,2023-09-08
450,1694044800000,33118.55078125,33322.44921875,32986.3515625,32991.078125,100200000,2023-09-07 00:00:00,2023-09-07
449,1693958400000,33115.05859375,33282.1484375,33088.21875,33241.01953125,94200000,2023-09-06 00:00:00,2023-09-06
448,1693872000000,32941.41015625,33036.76171875,32784.3203125,33036.76171875,91300000,2023-09-05 00:00:00,2023-09-05
447,1693785600000,32797.3203125,32939.1796875,32714.939453125,32939.1796875,89600000,2023-09-04 00:00:00,2023-09-04
446,1693526400000,32521.150390625,32845.4609375,32499.439453125,32710.619140625,88400000,2023-09-01 00:00:00,2023-09-01
445,1693440000000,32361.01953125,32692.759765625,32359.150390625,32619.33984375,114600000,2023-08-31 00:00:00,2023-08-31
444,1693353600000,32432.94921875,32557.44921875,32300.560546875,32333.4609375,89100000,2023-08-30 00:00:00,2023-08-30
443,1693267200000,32280.5703125,32389.119140625,32186.5703125,32226.970703125,77500000,2023-08-29 00:00:00,2023-08-29
442,1693180800000,31915.6796875,32205.48046875,31881.9296875,32169.990234375,69900000,2023-08-28 00:00:00,2023-08-28
441,1692921600000,31840.91015625,31885.529296875,31572.060546875,31624.279296875,65700000,2023-08-25 00:00:00,2023-08-25
440,1692835200000,32130.51953125,32297.91015625,32063.140625,32287.2109375,73400000,2023-08-24 00:00:00,2023-08-24
439,1692748800000,31717.91015625,32039.599609375,31717.91015625,32010.259765625,65100000,2023-08-23 00:00:00,2023-08-23
438,1692662400000,31792.599609375,31906.099609375,31693.759765625,31856.7109375,70200000,2023-08-22 00:00:00,2023-08-22
437,1692576000000,31552.849609375,31758.69921875,31409.859375,31565.640625,69500000,2023-08-21 00:00:00,2023-08-21
436,1692316800000,31321.259765625,31644.890625,31275.25,31450.759765625,74800000,2023-08-18 00:00:00,2023-08-18
435,1692230400000,31621.98046875,31704.080078125,31309.6796875,31626.0,87700000,2023-08-17 00:00:00,2023-08-17
434,1692144000000,31965.580078125,31997.279296875,31766.8203125,31766.8203125,84800000,2023-08-16 00:00:00,2023-08-16
433,1692057600000,32372.529296875,32403.9296875,32217.51953125,32238.890625,75100000,2023-08-15 00:00:00,2023-08-15
432,1691971200000,32456.720703125,32613.990234375,32031.5390625,32059.91015625,95600000,2023-08-14 00:00:00,2023-08-14
431,1691625600000,32015.9609375,32504.849609375,32015.9609375,32473.650390625,108000000,2023-08-10 00:00:00,2023-08-10
430,1691539200000,32346.3203125,32407.849609375,32175.640625,32204.330078125,104500000,2023-08-09 00:00:00,2023-08-09
429,1691452800000,32430.609375,32539.880859375,32238.58984375,32377.2890625,91800000,2023-08-08 00:00:00,2023-08-08
428,1691366400000,31921.279296875,32306.869140625,31830.23046875,32254.560546875,94100000,2023-08-07 00:00:00,2023-08-07
427,1691107200000,32019.060546875,32294.69921875,31934.349609375,32192.75,106600000,2023-08-04 00:00:00,2023-08-04
426,1691020800000,32375.849609375,32467.060546875,32142.25,32159.279296875,120300000,2023-08-03 00:00:00,2023-08-03
425,1690934400000,33123.12109375,33158.578125,32628.2890625,32707.689453125,124200000,2023-08-02 00:00:00,2023-08-02
424,1690848000000,33292.30859375,33488.76953125,33203.87890625,33476.578125,110800000,2023-08-01 00:00:00,2023-08-01
423,1690761600000,33128.828125,33402.078125,33025.9296875,33172.21875,134300000,2023-07-31 00:00:00,2023-07-31
422,1690502400000,32444.419921875,32846.96875,32037.55078125,32759.23046875,170500000,2023-07-28 00:00:00,2023-07-28
421,1690416000000,32523.689453125,32938.58984375,32503.689453125,32891.16015625,90900000,2023-07-27 00:00:00,2023-07-27
420,1690329600000,32704.9609375,32724.25,32488.51953125,32668.33984375,85200000,2023-07-26 00:00:00,2023-07-26
419,1690243200000,32705.390625,32715.560546875,32509.939453125,32682.509765625,101000000,2023-07-25 00:00:00,2023-07-25
418,1690156800000,32648.140625,32793.76953125,32554.4609375,32700.939453125,83500000,2023-07-24 00:00:00,2023-07-24
